subject,grade,questionText,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,competencyCodes
Maths,Grade 11,"Solve the quadratic equation: x² - 5x + 6 = 0","x = 2, x = 3","x = -2, x = -3","x = 1, x = 6","x = -1, x = -6",A,245,"COMP1,COMP2"
Maths,Grade 11,"Find the derivative of f(x) = 3x² + 2x - 1","6x + 2","3x + 2","6x² + 2","3x² + 2",A,278,"COMP1,COMP3"
Maths,Grade 11,"What is the value of log₂(8)?",2,3,4,8,B,156,"COMP1,COMP4"
Maths,Grade 11,"Solve the system of equations: 2x + y = 5 and x - y = 1","x = 2, y = 1","x = 1, y = 2","x = 3, y = -1","x = -1, y = 3",A,234,"COMP1,COMP2"
Maths,Grade 11,"Find the slope of the line passing through points (2,3) and (4,7)",1,2,3,4,B,198,"COMP2,COMP3"
Maths,Grade 11,"What is the value of sin(30°)?","1/2","√3/2","1","0",A,145,"COMP1,COMP4"
Maths,Grade 11,"Solve for x: 2^(x+1) = 8",1,2,3,4,B,267,"COMP1,COMP2"
Maths,Grade 11,"Find the area under the curve y = x² from x = 0 to x = 2","2/3","4/3","8/3","16/3",C,312,"COMP2,COMP3"
Maths,Grade 11,"What is the value of cos(60°)?","1/2","√3/2","1","0",A,142,"COMP1,COMP4"
Maths,Grade 11,"Solve the inequality: 3x - 2 > 7","x > 3","x > 2","x > 1","x > 0",A,223,"COMP1,COMP2"
Maths,Grade 11,"Find the vertex of the parabola y = x² - 4x + 3","(2, -1)","(-2, 1)","(2, 1)","(-2, -1)",A,256,"COMP2,COMP3"
Maths,Grade 11,"What is the value of tan(45°)?",0,1,"√2","∞",B,138,"COMP1,COMP4"
Maths,Grade 11,"Solve for x: ln(x) = 2","e","e²","2e","2",B,289,"COMP1,COMP2"
Maths,Grade 11,"Find the domain of f(x) = √(x - 2)","x ≥ 2","x > 2","x ≤ 2","x < 2",A,201,"COMP2,COMP3"
Maths,Grade 11,"What is the value of log₁₀(100)?",1,2,10,100,B,133,"COMP1,COMP4"
Maths,Grade 11,"Solve the equation: |x - 3| = 5","x = 8, x = -2","x = 8, x = 2","x = -8, x = -2","x = -8, x = 2",A,275,"COMP1,COMP2"
Maths,Grade 11,"Find the range of f(x) = x² + 1","y ≥ 1","y > 1","y ≤ 1","y < 1",A,248,"COMP2,COMP3"
Maths,Grade 11,"What is the value of sin(90°)?",0,1,"√2","∞",B,140,"COMP1,COMP4"
